"Is it too intrusive to start a conversation with “how are you?”",「元気？」で始まる会話は押し付けがましい？,Yes,はい,No,いいえ
What percentage of life is embarrassing?,人生どのくらい恥ずかしい？,33%,33%,77%,77%
Are you honest online?,オンラインでは正直ですか？,Yes,はい,No,いいえ
Do you give animals cute voices in your head?,頭の中で動物たちはかわいい声で話しますか？,"Yes, but only in my head.",はい、でも頭の中だけ,"Never, they don’t speak like humans.",いいえ、動物たちは人間みたいに話しません
la laaaa la la laaa la laaaaaaaa,ララ〜ラララ〜ララ〜〜,do dooo la la do,ドゥドゥ〜ララドゥ〜,be baaa bo ba la la la,ベバ〜ブバラララ
(Not your) Apple on table in kitchen (You're hungry).... *Stomach GURBLRB*,（誰かの）りんごがキッチンにある（お腹が空いてお腹が鳴ったら？）,Eat apple,りんごを食べる,Not my apple,私のじゃないから食べない
Could you do terrible terrible things?! ,とってもひどいことってできる？,Yes,はい,No,いいえ
Help! I'm stuck in a game!,助けて！ゲームやめれない！,Yes,はい,No,いいえ
Have you ever counted the leaves on a tree?,木の葉っぱを数えたことがある？,Yes,はい,No,いいえ
Do you consider talking to people, studying?,人と話すことは勉強だと思いますか？,Yes,はい,No,いいえ
